published_papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,44197458,null,"PoSSuM v.3: A Major Expansion of the PoSSuM Database for Finding Similar Binding Sites of Proteins",null,"[Yuko Tsuchiya,Tomoki Yonezawa,Yu Yamamori,Hiroko Inoura,Masanori Osawa,Kazuyoshi Ikeda,Kentaro Tomii]",null,null,"Information on structures of protein–ligand complexes, including comparisons of known and putative protein–ligand-binding pockets, is valuable for protein annotation and drug discovery and development. To facilitate biomedical and pharmaceutical research, we developed PoSSuM (https://possum.cbrc.pj.aist.go.jp/PoSSuM/), a database for identifying similar binding pockets in proteins. The current PoSSuM database includes 191 million similar pairs among almost 10 million identified pockets. PoSSuM drug search (PoSSuMds) is a resource for investigating ligand and receptor diversity among a set of pockets that can bind to an approved drug compound. The enhanced PoSSuMds covers pockets associated with both approved drugs and drug candidates in clinical trials from the latest release of ChEMBL. Additionally, we developed two new databases: PoSSuMAg for investigating antibody–antigen interactions and PoSSuMAF to simplify exploring putative pockets in AlphaFold human protein models.",null,American Chemical Society,2023-12-11,null,"Journal of Chemical Information and Modeling",null,null,null,null,eng,true,null,scientific_journal,true,null,10.1021/acs.jcim.3c01405,null,null,null,null,false,disclosed
insert,merge,null,41444978,null,"A multipoint guidance mechanism for beta-barrel folding on the SAM complex",null,"[Hironori Takeda,Jon V. Busto,Caroline Lindau,Akihisa Tsutsumi,Kentaro Tomii,Kenichiro Imai,Yu Yamamori,Takatsugu Hirokawa,Chie Motono,Iniyan Ganesan,Lena-Sophie Wenz,Thomas Becker,Masahide Kikkawa,Nikolaus Pfanner,Nils Wiedemann,Toshiya Endo]",null,null,"Mitochondrial beta-barrel proteins are essential for the transport of metabolites, ions and proteins. The sorting and assembly machinery (SAM) mediates their folding and membrane insertion. We report the cryo-electron microscopy structure of the yeast SAM complex carrying an early eukaryotic beta-barrel folding intermediate. The lateral gate of Sam50 is wide open and pairs with the last beta-strand (beta-signal) of the substrate-the 19-beta-stranded Tom40 precursor-to form a hybrid barrel in the membrane plane. The Tom40 barrel grows and curves, guided by an extended bridge with Sam50. Tom40's first beta-segment (beta 1) penetrates into the nascent barrel, interacting with its inner wall. The Tom40 amino-terminal segment then displaces beta 1 to promote its pairing with Tom40's last beta-strand to complete barrel formation with the assistance of Sam37's dynamic alpha-protrusion. Our study thus reveals a multipoint guidance mechanism for mitochondrial beta-barrel folding.",null,"NATURE PORTFOLIO",2023-01,null,"NATURE STRUCTURAL & MOLECULAR BIOLOGY",null,null,null,null,eng,true,null,scientific_journal,null,null,10.1038/s41594-022-00897-2,1545-9993,1545-9985,null,null,false,disclosed
insert,merge,null,41445025,null,"Protein-protein interaction prediction methods: from docking-based to AI-based approaches.",null,"[Yuko Tsuchiya,Yu Yamamori,Kentaro Tomii]",null,null,"Protein-protein interactions (PPIs), such as protein-protein inhibitor, antibody-antigen complex, and supercomplexes play diverse and important roles in cells. Recent advances in structural analysis methods, including cryo-EM, for the determination of protein complex structures are remarkable. Nevertheless, much room remains for improvement and utilization of computational methods to predict PPIs because of the large number and great diversity of unresolved complex structures. This review introduces a wide array of computational methods, including our own, for estimating PPIs including antibody-antigen interactions, offering both historical and forward-looking perspectives.",null,null,2022-12,null,"Biophysical reviews",14,6,1341,1348,eng,true,null,scientific_journal,true,null,10.1007/s12551-022-01032-7,null,null,null,null,false,disclosed
insert,merge,null,41445013,null,"Crystal structure of Tam41 cytidine diphosphate diacylglycerol synthase from a Firmicutes bacterium.",null,"[Keisuke Kimura,Fumihiro Kawai,Hisako Kubota-Kawai,Yasunori Watanabe,Kentaro Tomii,Rieko Kojima,Kunio Hirata,Yu Yamamori,Toshiya Endo,Yasushi Tamura]",null,null,"Translocator assembly and maintenance 41 (Tam41) catalyses the synthesis of cytidine diphosphate diacylglycerol (CDP-DAG), which is a high-energy intermediate phospholipid critical for generating cardiolipin in mitochondria. Although Tam41 is present almost exclusively in eukaryotic cells, a Firmicutes bacterium contains the gene encoding Tam41-type CDP-DAG synthase (FbTam41). FbTam41 converted phosphatidic acid (PA) to CDP-DAG using a ternary complex mechanism in vitro. Additionally, FbTam41 functionally substituted yeast Tam41 in vivo. These results demonstrate that Tam41-type CDP-DAG synthase functions in some prokaryotic cells. We determined the crystal structure of FbTam41 lacking the C-terminal 18 residues in the cytidine triphosphate (CTP)-Mg2+ bound form at a resolution of 2.6 Å. The crystal structure showed that FbTam41 contained a positively charged pocket that specifically accommodated CTP-Mg2+ and PA in close proximity. By using this structure, we constructed a model for the full-length structure of FbTam41 containing the last a-helix, which was missing in the crystal structure. Based on this model, we propose a molecular mechanism for CDP-DAG synthesis in bacterial cells and mitochondria.",null,null,2022-03-31,null,"Journal of biochemistry",171,4,429,441,eng,true,null,scientific_journal,true,null,10.1093/jb/mvab154,null,null,null,null,false,disclosed
insert,merge,null,41444974,null,"Application of Homology Modeling by Enhanced Profile-Profile Alignment and Flexible-Fitting Simulation to Cryo-EM Based Structure Determination",null,"[Yu Yamamori,Kentaro Tomii]",[lead],null,"Application of cryo-electron microscopy (cryo-EM) is crucially important for ascertaining the atomic structure of large biomolecules such as ribosomes and protein complexes in membranes. Advances in cryo-EM technology and software have made it possible to obtain data with near-atomic resolution, but the method is still often capable of producing only a density map with up to medium resolution, either partially or entirely. Therefore, bridging the gap separating the density map and the atomic model is necessary. Herein, we propose a methodology for constructing atomic structure models based on cryo-EM maps with low-to-medium resolution. The method is a combination of sensitive and accurate homology modeling using our profile-profile alignment method with a flexible-fitting method using molecular dynamics simulation. As described herein, this study used benchmark applications to evaluate the model constructions of human two-pore channel 2 (one target protein in CASP13 with its structure determined using cryo-EM data) and the overall structure of Enterococcus hirae V-ATPase complex.",null,MDPI,2022-02,null,"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES",23,4,null,null,eng,true,null,scientific_journal,null,null,10.3390/ijms23041977,null,1422-0067,null,null,false,disclosed
insert,merge,null,41445008,null,"Modeling SARS-CoV-2 proteins in the CASP-commons experiment.",null,"[Andriy Kryshtafovych,John Moult,Wendy M Billings,Dennis Della Corte,Krzysztof Fidelis,Sohee Kwon,Kliment Olechnovič,Chaok Seok,Česlovas Venclovas,Jonghun Won]",null,null,"Critical Assessment of Structure Prediction (CASP) is an organization aimed at advancing the state of the art in computing protein structure from sequence. In the spring of 2020, CASP launched a community project to compute the structures of the most structurally challenging proteins coded for in the SARS-CoV-2 genome. Forty-seven research groups submitted over 3000 three-dimensional models and 700 sets of accuracy estimates on 10 proteins. The resulting models were released to the public. CASP community members also worked together to provide estimates of local and global accuracy and identify structure-based domain boundaries for some proteins. Subsequently, two of these structures (ORF3a and ORF8) have been solved experimentally, allowing assessment of both model quality and the accuracy estimates. Models from the AlphaFold2 group were found to have good agreement with the experimental structures, with main chain GDT_TS accuracy scores ranging from 63 (a correct topology) to 87 (competitive with experiment).",null,null,2021-12,null,Proteins,89,12,1987,1996,eng,true,null,scientific_journal,true,null,10.1002/prot.26231,null,null,null,null,false,disclosed
insert,merge,null,41444977,null,"HMGB1 signaling phosphorylates Ku70 and impairs DNA damage repair in Alzheimer's disease pathology",null,"[Hikari Tanaka,Kanoh Kondo,Kyota Fujita,Hidenori Homma,Kazuhiko Tagawa,Xiaocen Jin,Meihua Jin,Yuki Yoshioka,Sumire Takayama,Hitomi Masuda,Rie Tokuyama,Yukoh Nakazaki,Takashi Saito,Takaomi Saido,Shigeo Murayama,Teikichi Ikura,Nobutoshi Ito,Yu Yamamori,Kentaro Tomii,Marco E. Bianchi,Hitoshi Okazawa]",null,null,"DNA damage is increased in Alzheimer's disease (AD), while the underlying mechanisms are unknown. Here, we employ comprehensive phosphoproteome analysis, and identify abnormal phosphorylation of 70 kDa subunit of Ku antigen (Ku70) at Ser77/78, which prevents Ku70-DNA interaction, in human AD postmortem brains. The abnormal phosphorylation inhibits accumulation of Ku70 to the foci of DNA double strand break (DSB), impairs DNA damage repair and eventually causes transcriptional repression-induced atypical cell death (TRIAD). Cells under TRIAD necrosis reveal senescence phenotypes. Extracellular high mobility group box 1 (HMGB1) protein, which is released from necrotic or hyper-activated neurons in AD, binds to toll-like receptor 4 (TLR4) of neighboring neurons, and activates protein kinase C alpha (PKC alpha) that executes Ku70 phosphorylation at Ser77/78. Administration of human monoclonal anti-HMGB1 antibody to post-symptomatic AD model mice decreases neuronal DSBs, suppresses secondary TRIAD necrosis of neurons, prevents escalation of neurodegeneration, and ameliorates cognitive symptoms. TRIAD shares multiple features with senescence. These results discover the HMGB1-Ku70 axis that accounts for the increase of neuronal DNA damage and secondary enhancement of TRIAD, the cell death phenotype of senescence, in AD.Tanaka et al use phosphoproteome analysis of post-mortem Alzheimer's Disease (AD) brains and identified abnormal phosphorylation of Ku70, which leads to DNA damage and transcriptional repression-induced atypical cell death. In a mouse model of AD, the authors show that Ku70 phosporylation is regulated by extracellular high mobility group box 1 protein, thus shedding light on the mechanism of DNA damage in AD.",null,"NATURE PORTFOLIO",2021-10,null,"COMMUNICATIONS BIOLOGY",4,1,null,null,eng,true,null,scientific_journal,null,null,10.1038/s42003-021-02671-4,null,2399-3642,null,null,false,disclosed
insert,merge,null,41444975,null,"An ensemble reweighting method for combining the information of experiments and simulations",null,"[Yu Yamamori,Kentaro Tomii]","[lead,corresponding]",null,"The accuracy of molecular dynamics (MD) simulation can be assured by the reproductivity of experimental results. We propose a new post-processing method for optimizing weighting factors of MD simulation snapshots to improve the agreement with the experimental data without an undesirable change of the distribution generated by the simulation. This method minimizes the Kullback-Leibler divergence between the optimized and original probability distribution, provided that the error between experimentally observed and calculated values is smaller than some given value. In this method, the reweighting method was applied to ethane in a vacuum and lysozyme in a solvent.",null,ELSEVIER,2021-09,null,"CHEMICAL PHYSICS LETTERS",779,null,null,null,eng,true,null,scientific_journal,null,null,10.1016/j.cplett.2021.138821,0009-2614,1873-4448,null,null,false,disclosed
insert,merge,null,41444979,null,"Mitochondrial sorting and assembly machinery operates by beta-barrel switching",null,"[Hironori Takeda,Akihisa Tsutsumi,Tomohiro Nishizawa,Caroline Lindau,Jon Busto,Lena-Sophie Wenz,Lars Ellenrieder,Kenichiro Imai,Sebastian P. Straub,Waltraut Mossmann,Jian Qiu,Yu Yamamori,Kentaro Tomii,Junko Suzuki,Takeshi Murata,Satoshi Ogasawara,Osamu Nureki,Thomas Becker,Nikolaus Pfanner,Nils Wiedemann,Masahide Kikkawa,Toshiya Endo]",null,null,"The mitochondrial outer membrane contains so-called beta-barrel proteins, which allow communication between the cytosol and the mitochondrial interior(1-3). Insertion of beta-barrel proteins into the outer membrane is mediated by the multisubunit mitochondrial sorting and assembly machinery (SAM, also known as TOB)(4-6). Here we use cryo-electron microscopy to determine the structures of two different forms of the yeast SAM complex at a resolution of 2.8-3.2 angstrom. The dimeric complex contains two copies of the beta-barrel channel protein Sam50-Sam50a and Sam50b-with partially open lateral gates. The peripheral membrane proteins Sam35 and Sam37 cap the Sam50 channels from the cytosolic side, and are crucial for the structural and functional integrity of the dimeric complex. In the second complex, Sam50b is replaced by the beta-barrel protein Mdm10. In cooperation with Sam50a, Sam37 recruits and traps Mdm10 by penetrating the interior of its laterally closed beta-barrel from the cytosolic side. The substrate-loaded SAM complex contains one each of Sam50, Sam35 and Sam37, but neither Mdm10 nor a second Sam50, suggesting that Mdm10 and Sam50b function as placeholders for a beta-barrel substrate released from Sam50a. Our proposed mechanism for dynamic switching of beta-barrel subunits and substrate explains how entire precursor proteins can fold in association with the mitochondrial machinery for beta-barrel assembly.",null,"NATURE PORTFOLIO",2021-02,null,NATURE,590,7844,163,+,eng,true,null,scientific_journal,null,null,10.1038/s41586-020-03113-7,0028-0836,1476-4687,null,null,false,disclosed
insert,merge,null,41444980,null,"Crim1(C140S) mutant mice reveal the importance of cysteine 140 in the internal region 1 of CRIM1 for its physiological functions",null,"[Tatsuya Furuichi,Manami Tsukamoto,Masaki Saito,Yuriko Sato,Nobuyasu Oiji,Kazuhiro Yagami,Ryutaro Fukumura,Yoichi Gondo,Long Guo,Shiro Ikegawa,Yu Yamamori,Kentaro Tomii]",null,null,"Cysteine-rich transmembrane bone morphogenetic protein regulator 1 (CRIM1) is a type I transmembrane protein involved in the organogenesis of many tissues via its interactions with growth factors including BMP, TGF-beta, and VEGF. In this study, we used whole-exome sequencing and linkage analysis to identify a novel Crim1 mutant allele generated by ENU mutagenesis in mice. This allele is a missense mutation that causes a cysteine-to-serine substitution at position 140, and is referred to as Crim1(C140S). In addition to the previously reported phenotypes in Crim1 mutants, Crim1(C140S) homozygous mice exhibited several novel phenotypes, including dwarfism, enlarged seminal vesicles, and rectal prolapse. In vitro analyses showed that Crim1(C140S) mutation affected the formation of CRIM1 complexes and decreased the amount of the overexpressed CRIM1 proteins in the cell culture supernatants. Cys140 is located in the internal region 1 (IR1) of the N-terminal extracellular region of CRIM1 and resides outside any identified functional domains. Inference of the domain architecture suggested that the Crim1(C140S) mutation disturbs an intramolecular disulfide bond in IR1, leading to the protein instability and the functional defects of CRIM1. Crim1(C140S) highlights the functional importance of the IR1, and Crim1(C140S) mice should serve as a valuable model for investigating the functions of CRIM1 that are unidentified as yet.",null,SPRINGER,2019-12,null,"MAMMALIAN GENOME",30,11-12,329,338,eng,true,null,scientific_journal,null,null,10.1007/s00335-019-09822-3,0938-8990,1432-1777,null,null,false,disclosed
